,feature,importance,stddev,p_value,n,p99_high,p99_low,seed,fold,model
88,cl-RC_e,0.0007307692307691405,0.0015680355851789226,0.02543980823133848,20,0.0017338798953204248,-0.00027234143378214394,27431,1,RandomForestGini
89,Tv-11-Pd,-0.00023076923076936206,0.002315775317756335,0.6695576621523063,20,0.0012506888049428524,-0.0017122272664815764,27431,1,RandomForestGini
90,CC-p2-Pd,-0.001153846153846272,0.002647104621583404,0.966914971957821,20,0.0005395713305473072,-0.0028472636382398508,27431,1,RandomForestGini
91,Tv-01-Pd,-0.0028461538461539817,0.004548092436912376,0.9942709826847523,20,6.337197708252643e-05,-0.00575567966939049,27431,1,RandomForestGini
92,CC-pt-Pd,-0.0029230769230770225,0.003887230049628628,0.9983663927550727,20,-0.00043632091115796984,-0.005409832934996075,27431,1,RandomForestGini
93,FR-pd-Pd,-0.003000000000000086,0.002983396386983889,0.9998765772814093,20,-0.0010914484590439364,-0.004908551540956235,27431,1,RandomForestGini
94,Tv-03-Pd,-0.0033461538461539543,0.011366532854716106,0.8981724694638072,20,0.003925294859034235,-0.010617602551342144,27431,1,RandomForestGini
95,St-p2-Pd,0.14407692307692302,0.061362146202757074,1.1915050048397087e-09,20,0.1833317868297231,0.10482205932412295,27431,1,RandomForestEntr
96,St-p1-Pd,0.03353846153846147,0.016753660639236417,1.5158717845789175e-08,20,0.04425618747296155,0.022820735603961393,27431,1,RandomForestEntr
97,CC-p1-Pd,0.021730769230769175,0.011614794740632298,4.27578409777638e-08,20,0.029161037128403008,0.014300501333135342,27431,1,RandomForestEntr
98,FR-p2-Pd,0.018269230769230687,0.008590750640908834,5.869296908349626e-09,20,0.02376494379121107,0.012773517747250305,27431,1,RandomForestEntr
99,Tv-10-Pd,0.01784615384615376,0.01764136301971584,0.00011608269904666352,20,0.029131764676394174,0.006560543015913349,27431,1,RandomForestEntr
100,FR-p1-Pd,0.014038461538461482,0.01179043365424768,1.9342574600203598e-05,20,0.021581089939277192,0.006495833137645774,27431,1,RandomForestEntr
101,dm-edad,0.01153846153846148,0.005547001962252304,8.322249802983277e-09,20,0.015087014184342456,0.007989908892580505,27431,1,RandomForestEntr
102,St-p3-Pd,0.009230769230769181,0.007974578106869364,2.683469437820557e-05,20,0.01433230163214327,0.004129236829395093,27431,1,RandomForestEntr
103,Tv-09-Pd,0.006038461538461498,0.005779478078849805,8.294818188798855e-05,20,0.009735734834573004,0.0023411882423499913,27431,1,RandomForestEntr
104,Tv-02-Pd,0.002846153846153815,0.0016573496456760276,1.5283855118954392e-07,20,0.003906400896783227,0.0017859067955244038,27431,1,RandomForestEntr
105,dm-genero,0.002076923076923054,0.0016384510843406447,9.12719101010899e-06,20,0.003125080256251467,0.001028765897594641,27431,1,RandomForestEntr
106,Tv-08-Pd,0.0011153846153845403,0.0055776559618960385,0.19117270385894392,20,0.0046835473735897665,-0.0024527781428206855,27431,1,RandomForestEntr
107,cl-RC_e,-0.0004230769230769649,0.001527797045388104,0.8846784510020258,20,0.0005542921647067645,-0.0014004460108606944,27431,1,RandomForestEntr
108,Tv-11-Pd,-0.0005000000000000337,0.00171597364662213,0.8959421361889165,20,0.0005977502559797778,-0.0015977502559798452,27431,1,RandomForestEntr
109,CC-p2-Pd,-0.001115384615384657,0.002080219306647634,0.9865387275521161,20,0.00021538248634895315,-0.0024461517171182673,27431,1,RandomForestEntr
110,FR-pd-Pd,-0.0028461538461539036,0.0022336293266468914,0.999991438077254,20,-0.0014172466074458372,-0.00427506108486197,27431,1,RandomForestEntr
111,Tv-01-Pd,-0.0030384615384615953,0.003200698693576631,0.9997812363973185,20,-0.000990896404169234,-0.005086026672753957,27431,1,RandomForestEntr
112,Tv-03-Pd,-0.0032307692307692814,0.01112372030998281,0.8952369636621006,20,0.003885346358633139,-0.010346884820171702,27431,1,RandomForestEntr
113,CC-pt-Pd,-0.004230769230769265,0.00221120838937998,0.999999969579206,20,-0.00281620521328287,-0.005645333248255661,27431,1,RandomForestEntr
114,St-p2-Pd,0.2549230769230769,0.07759560261983824,3.9608909127963975e-12,20,0.3045628792629974,0.2052832745831564,27431,1,CatBoost
115,CC-p1-Pd,0.020384615384615373,0.010796668344321704,3.7251394153839825e-08,20,0.027291507843039117,0.01347772292619163,27431,1,CatBoost
116,FR-p2-Pd,0.01992307692307687,0.013087397567341,8.427614756770354e-07,20,0.028295404818635628,0.011550749027518112,27431,1,CatBoost
117,dm-edad,0.019153846153846122,0.00838908991774941,1.8787474142953196e-09,20,0.024520551885472655,0.013787140422219587,27431,1,CatBoost
118,St-p1-Pd,0.018769230769230743,0.007758420346047302,7.297380446746922e-10,20,0.023732481771154706,0.01380597976730678,27431,1,CatBoost
119,Tv-10-Pd,0.014153846153846105,0.00885328000244087,4.2643152786177685e-07,20,0.019817505620919808,0.008490186686772403,27431,1,CatBoost
120,FR-p1-Pd,0.007769230769230728,0.006143209430866882,9.389468398504805e-06,20,0.011699191895700595,0.0038392696427608604,27431,1,CatBoost
121,Tv-09-Pd,0.007615384615384585,0.009264109829063213,0.000802165344744677,20,0.01354186195744523,0.0016889072733239406,27431,1,CatBoost
122,cl-RC_e,0.007461538461538414,0.002191401901094564,2.1118170477025395e-12,20,0.008863431784676922,0.006059645138399905,27431,1,CatBoost
123,dm-genero,0.004461538461538417,0.004461678065664518,0.00013063819154453046,20,0.00731578290073712,0.0016072940223397134,27431,1,CatBoost
124,Tv-08-Pd,0.0026923076923076493,0.0022805420413777597,2.136892259601291e-05,20,0.004151226140515286,0.0012333892441000124,27431,1,CatBoost
125,CC-p2-Pd,0.0026153846153845473,0.001736271057374871,9.73819442039611e-07,20,0.003726119620805826,0.0015046496099632687,27431,1,CatBoost
126,Tv-02-Pd,0.0013076923076922597,0.0023022878686393966,0.009985687597259041,20,0.0027805220927610104,-0.00016513747737649108,27431,1,CatBoost
127,FR-pd-Pd,0.0010769230769230142,0.0034255893068251254,0.0879437819439212,20,0.003268356229670647,-0.0011145100758246185,27431,1,CatBoost
128,CC-pt-Pd,0.0008461538461537854,0.0023130841194994095,0.05915286341870839,20,0.0023258902566060504,-0.0006335825642984794,27431,1,CatBoost
129,Tv-11-Pd,-7.692307692311329e-05,0.0014530972944435954,0.5923050352842176,20,0.0008526587555712464,-0.0010065049094174728,27431,1,CatBoost
130,Tv-03-Pd,-0.0007692307692308109,0.006143716359070956,0.7089682797658283,20,0.0031610546515933903,-0.0046995161900550125,27431,1,CatBoost
131,St-p3-Pd,-0.0011538461538461886,0.006131030579772293,0.7947725665887959,20,0.0027683238640988234,-0.0050760161717912,27431,1,CatBoost
132,Tv-01-Pd,-0.0020769230769231207,0.003431947293244228,0.993002933495224,20,0.00011857743503648202,-0.004272423588882723,27431,1,CatBoost
133,St-p2-Pd,0.07019230769230769,0.028678867156219062,6.022652146243357e-10,20,0.08853887951986625,0.05184573586474914,27431,1,ExtraTreesGini
134,St-p1-Pd,0.021961538461538477,0.012316482185120122,8.790138555735921e-08,20,0.02984069295677281,0.014082383966304145,27431,1,ExtraTreesGini
135,FR-p1-Pd,0.01096153846153845,0.007219799586752706,8.741297103607497e-07,20,0.015580220607433888,0.006342856315643011,27431,1,ExtraTreesGini
136,CC-p1-Pd,0.008807692307692317,0.009962480220595116,0.00042578107207254023,20,0.015180934247555485,0.0024344503678291485,27431,1,ExtraTreesGini
137,Tv-10-Pd,0.005076923076923062,0.02026052675164511,0.13820395562394663,20,0.01803807692196336,-0.007884230768117235,27431,1,ExtraTreesGini
138,CC-p2-Pd,0.003961538461538472,0.004514932489485912,0.000455738567839881,20,0.006849851056444036,0.001073225866632908,27431,1,ExtraTreesGini
139,Tv-09-Pd,0.0024615384615384816,0.006676210339018123,0.057803306461016904,20,0.006732473287990433,-0.0018093963649134692,27431,1,ExtraTreesGini
140,dm-edad,0.0008076923076923148,0.004289979488437148,0.2051341367540705,20,0.003552096973142896,-0.0019367123577582663,27431,1,ExtraTreesGini
141,Tv-11-Pd,-0.00034615384615381827,0.005208065756647887,0.6152458013497064,20,0.002985573030173245,-0.0036778807224808812,27431,1,ExtraTreesGini
142,dm-genero,-0.0006923076923076755,0.009963808691958785,0.620307018036996,20,0.005681784103135967,-0.007066399487751318,27431,1,ExtraTreesGini
143,St-p3-Pd,-0.0008846153846154059,0.012857833668222518,0.6191640755217773,20,0.007340854877367742,-0.009110085646598553,27431,1,ExtraTreesGini
144,FR-pd-Pd,-0.0014230769230769269,0.005406404728048297,0.8731655701564736,20,0.0020355322378668985,-0.004881686084020753,27431,1,ExtraTreesGini
145,Tv-08-Pd,-0.001500000000000007,0.008450397523906934,0.7814522847264077,20,0.003905925704780201,-0.006905925704780215,27431,1,ExtraTreesGini
146,cl-RC_e,-0.0015769230769231146,0.010031016986086067,0.754722066415988,20,0.00484016350589819,-0.007994009659744419,27431,1,ExtraTreesGini
147,FR-p2-Pd,-0.0035384615384615402,0.006120354205141007,0.9909322872103564,20,0.0003768785418515612,-0.007453801618774642,27431,1,ExtraTreesGini
148,CC-pt-Pd,-0.006230769230769223,0.006555229748842196,0.9997838782802083,20,-0.002037228642915073,-0.010424309818623374,27431,1,ExtraTreesGini
149,Tv-02-Pd,-0.007615384615384607,0.006686930689260759,0.9999676966076804,20,-0.0033375917190280194,-0.011893177511741196,27431,1,ExtraTreesGini
150,Tv-03-Pd,-0.012461538461538468,0.01236222735648109,0.9998796300407702,20,-0.004553119662816614,-0.02036995726026032,27431,1,ExtraTreesGini
151,Tv-01-Pd,-0.025923076923076927,0.009210842188826616,0.9999999999423697,20,-0.02003067619158677,-0.03181547765456708,27431,1,ExtraTreesGini
152,St-p2-Pd,0.05442307692307693,0.02752408984225177,1.8355356489074655e-08,20,0.0720309094963919,0.03681524434976196,27431,1,ExtraTreesEntr
153,St-p1-Pd,0.027269230769230806,0.015417929517522355,9.914021715188143e-08,20,0.03713245687870839,0.01740600465975322,27431,1,ExtraTreesEntr
154,Tv-10-Pd,0.00953846153846159,0.015654316160418073,0.006722355013773275,20,0.01955290995736088,-0.00047598688043770133,27431,1,ExtraTreesEntr
155,CC-p1-Pd,0.007769230769230811,0.011934890321072054,0.004477561236049798,20,0.015404271628301111,0.00013418991016051103,27431,1,ExtraTreesEntr
156,Tv-11-Pd,0.007346153846153902,0.0061003494546889745,1.692984353547005e-05,20,0.011248696398968397,0.003443611293339407,27431,1,ExtraTreesEntr
