Model,Nvariables,nFolds,Seed,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Roc_auc,PR_auc,Log_loss,ROC_AUC
XGBoost_r194,8,5,0,0.8630573248407644,0.7918912652871964,0.8630573248407644,,0.8076735092864125,0.8630573248407644,0.8630573248407644,0.8648590146368891,0.7992775060579482,,0.7810837944010012,0.3201725323169044,0.9291911045943304
XGBoost_r22,8,5,0,0.8630573248407644,0.7933107740648981,0.8630573248407644,,0.7965542521994134,0.8630573248407644,0.8630573248407644,0.8634338209933248,0.7949115212273107,,0.7787276900147777,0.31091849423996115,0.9251588465298143
XGBoost_r31,8,5,0,0.8662420382165605,0.7956644144144145,0.8662420382165605,,0.8208088954056696,0.8662420382165605,0.8662420382165605,0.868967317531586,0.8069672131147541,,0.7752570694171436,0.3039099089780363,0.9288856304985337
XGBoost_r33,8,5,0,0.8726114649681529,0.8081622678396871,0.8726114649681529,,0.8081622678396871,0.8726114649681529,0.8726114649681529,0.8726114649681529,0.8081622678396871,,0.7892293382385966,0.3008984372676057,0.9277248289345064
XGBoost_r34,8,5,0,0.8598726114649682,0.7875878220140515,0.8598726114649682,,0.8000977517106549,0.8598726114649682,0.8598726114649682,0.8613636848245589,0.7935198469631755,,0.7929846673038584,0.29503523665375586,0.9255254154447703
XGBoost_r49,8,5,0,0.8789808917197452,0.819375,0.8789808917197452,,0.8121945259042034,0.8789808917197452,0.8789808917197452,0.8782929857597958,0.8156935434043868,,0.7996610621643034,0.2955930920516469,0.9307795698924731
XGBoost_r89,8,5,0,0.8789808917197452,0.8177541544477028,0.8789808917197452,,0.8177541544477028,0.8789808917197452,0.8789808917197452,0.8789808917197452,0.8177541544477028,,0.7871018920627493,0.3045366577695382,0.9252199413489737
XGBoost_r95,8,5,0,0.8630573248407644,0.7918912652871964,0.8630573248407644,,0.8076735092864125,0.8630573248407644,0.8630573248407644,0.8648590146368891,0.7992775060579482,,0.7913561180512988,0.3100809444776629,0.9271749755620723
XGBoost_r98,8,5,0,0.8726114649681529,0.8081622678396871,0.8726114649681529,,0.8081622678396871,0.8726114649681529,0.8726114649681529,0.8726114649681529,0.8081622678396871,,0.7846668812535214,0.29635208696384807,0.9242424242424243
CatBoost,8,5,7,0.8757961783439491,0.8081264726834347,0.8757961783439491,,0.8435361681329423,0.8757961783439491,0.8757961783439491,0.8791647514610282,0.8234301780693534,,0.7970837561247294,0.2961944176031478,0.928580156402737
